uid,lat,long,base,duration,outcome,category,color
Caer63161,54.46,-3.21,Caernarfon,154,Complete,Support,"rgb(0,153,169)"
Caer64161,52.83,-3.89,Caernarfon,132,Complete,Rescue/ Recovery,"rgb(0,153,169)"
Caer65161,53.4,-2.99,Caernarfon,147,Stood Down,Search (Only),"rgb(0,153,169)"
Caer66161,52.83,-3.89,Caernarfon,132,Complete,Rescue/ Recovery,"rgb(0,153,169)"
Caer67161,53.4,-4.39,Caernarfon,107,Complete,Rescue/ Recovery,"rgb(0,153,169)"
Caer68161,53.32,-3.74,Caernarfon,70,Stood Down,Search (Only),"rgb(0,153,169)"
Caer69161,52.53,-4.06,Caernarfon,22,Stood Down,Search (Only),"rgb(0,153,169)"
Caer70161,53.29,-3.65,Caernarfon,44,Stood Down,Rescue/ Recovery,"rgb(0,153,169)"
Caer71161,52.69,-3.89,Caernarfon,90,Complete,Rescue/ Recovery,"rgb(0,153,169)"
Caer72161,52.73,-4.05,Caernarfon,143,Complete,Rescue/ Recovery,"rgb(0,153,169)"
Caer73161,53.07,-4.04,Caernarfon,132,Complete,Rescue/ Recovery,"rgb(0,153,169)"
Caer75161,53.1,-4.01,Caernarfon,99,Complete,Rescue/ Recovery,"rgb(0,153,169)"
Caer76161,52.7,-3.9,Caernarfon,84,Complete,Rescue/ Recovery,"rgb(0,153,169)"
Caer77161,53.03,-3.17,Caernarfon,27,Stood Down,Rescue/ Recovery,"rgb(0,153,169)"
Caer78161,52.38,-3.85,Caernarfon,102,Stood Down,Rescue/ Recovery,"rgb(0,153,169)"
Caer79161,53.39,-3.23,Caernarfon,110,Complete (Nothing Found),Search (Only),"rgb(0,153,169)"
Caer80161,53.11,-4.0,Caernarfon,100,Complete,Rescue/ Recovery,"rgb(0,153,169)"
Caer81161,53.31,-4.47,Caernarfon,53,Complete,Support,"rgb(0,153,169)"
Caer82161,53.07,-4.08,Caernarfon,122,Complete,Rescue/ Recovery,"rgb(0,153,169)"
Caer83161,51.91,-5.29,Caernarfon,153,Complete (Nothing Found),Search (Only),"rgb(0,153,169)"
Caer84161,53.33,-4.37,Caernarfon,46,Stood Down,Search (Only),"rgb(0,153,169)"
Caer85161,52.93,-3.98,Caernarfon,185,Complete,Rescue/ Recovery,"rgb(0,153,169)"
